LST_ListingID,LST_LNG_LanguageID,LST_VLO_VendorLocationID,LST_VIT_VendorItemID,LST_SER_ServiceID,LST_ParentListingID,LST_ITT_ItemTypeID,LST_ListingName,LST_UrlTitle,LST_ListingDesc,LST_CustomMessage,LST_RefundPolicy,LST_CancellationPolicy,LST_ListingAccess,LST_StartDateTime,LST_EndDateTime,LST_ViewCount,LST_ClickCount,LST_Priority,LST_Order,LST_IsDefault,LST_ShuttleServiceAvailable,LST_CanSubscribe,LST_isExternalListing,LST_VersionNo,LST_Status,LST_CreatedUserID,LST_CreatedDateTime,LST_LastModifiedUserID,LST_LastModifiedDateTime,Legacy_ID,LST_ExternalId,LST_IsCustomRedemptionSteps,LST_IsSeoListing,LST_InventoryOwner,LST_IsExclusiveInventory,LST_DisplayName
6313153,1,388137,4533120,48,NULL,2350,"Mister Car Wash - Lancaster","Mister Car Wash - Lancaster","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Lancaster located at 1417 Manheim Pike near Park City Center, Enterprise Rent-A-Car and Pizza Hut. If you’re heading Northwest on Manheim Pike, entrance will be on right-hand side just after Popeyes Louisiana Kitchen and Long John Silver’s. 

At this location of Mister Car Wash in Lancaster, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,12522,"2020-11-17 10:10:08",12522,"2020-11-17 10:10:08",NULL,NULL,No,No,WAY,NULL,NULL
6313359,1,388160,4533166,48,NULL,2350,"Mister Car Wash - York","Mister Car Wash - York","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - York is located at 2720 E Market Street, near the intersection of E Market Street and S Northern Way. This location is close to York County Shopping Center, Lowe’s Home Improvement, Walmart Supercenter and The Home Depot. If you’re heading West on Market Street, take a left onto Northern Way and our entrance will be on your left-hand side just before Little Caesars Pizza. 

At this location of Mister Car Wash in York, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 09:41:39",44613,"2020-11-18 09:41:39",NULL,NULL,No,No,WAY,NULL,NULL
6313367,1,388163,4533174,48,NULL,2350,"Mister Car Wash - Severna","Mister Car Wash - Severna","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Severna located at 8562 Veterans Highway and share the same neighborhood with Maryland Environmental Service and The Goddard School. You’ll be able to see entrance on your left-hand side if you are going North on Veteran’s Highway, just after passing through Benfield Boulevard.  

At this location of Mister Car Wash in Severna, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 11:17:47",44613,"2020-11-18 11:17:47",NULL,NULL,No,No,WAY,NULL,NULL
6313368,1,388164,4533175,48,NULL,2350,"Mister Car Wash - Annapolis","Mister Car Wash - Annapolis","Get a fast car wash when you go to Mister Car Wash.Mister Car Wash - Annapolis is located across the street from Annapolis Harbour Center and near other establishments such as The Home Depot, Forest Plaza Shopping Center and Festival at Riva Shopping Center. The easiest way to enter Mister Car Wash - Annapolis is by going North on Solomon’s Island Road, you’ll see us on your right-hand side just before Annapolis Subaru. 

At this location of Mister Car Wash in Annapolis, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 12:14:55",44613,"2020-11-18 12:14:55",NULL,NULL,No,No,WAY,NULL,NULL
6313372,1,388166,4533179,48,NULL,2350,"Mister Car Wash - Center Avenue","Mister Car Wash - Center Avenue","Get a fast car wash when you go to Mister Car Wash.Mister Car Wash - Center Avenue is located at 2921 Center Avenue in Essexville near the intersection of Center Avenue and Scheurmann Road. You’ll find us in between Walgreens and Pioneer Quick Lube.

At this location of Mister Car Wash - Center Avenue, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 12:35:15",44613,"2020-11-18 12:35:15",NULL,NULL,No,No,WAY,NULL,NULL
6313373,1,388167,4533180,48,NULL,2350,"Mister Car Wash - Wilder","Mister Car Wash - Wilder","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Wilder is located at 3631 Wilder Road next to O’Reilly Auto Parts near Adela Ct.

At this location of Mister Car Wash - Wilder, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 12:45:51",44613,"2020-11-18 12:45:51",NULL,NULL,No,No,WAY,NULL,NULL
6313376,1,388169,4533183,48,NULL,2350,"Mister Car Wash - N. Union","Mister Car Wash - N. Union","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - N. Union is located at 901 North Euclid Avenue in Bay City, Michigan. You can find us between Wendy’s and Arby’s, near the corner of N. Euclid Ave and E. North Union Rd. 

At this location of Mister Car Wash - N. Union, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 13:14:38",44613,"2020-11-18 13:14:38",NULL,NULL,No,No,WAY,NULL,NULL
6313377,1,388170,4533184,48,NULL,2350,"Mister Car Wash - Bay Road","Mister Car Wash - Bay Road","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Bay Road located near the corner of Bay Road and Enterprise Drive across the street from Uhaul and Duke’s Car Stereo. 

At this location of Mister Car Wash - Bay Road, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-18 13:38:22",44613,"2020-11-18 13:38:22",NULL,NULL,No,No,WAY,NULL,NULL
6313539,1,388183,4533209,48,NULL,2350,"Mister Car Wash - Lawndale","Mister Car Wash - Lawndale","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Lawndale is located at 6075 State Street, near the intersection of State Street and Midland Road. You’ll find us close to Jim Redmond Automotive Repair and Aldi. 

At this location of Mister Car Wash in Lawndale, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 09:19:19",44613,"2020-11-19 09:19:19",NULL,NULL,No,No,WAY,NULL,NULL
6313542,1,388185,4533212,48,NULL,2350,"Mister Car Wash - Saginaw","Mister Car Wash - Saginaw","Get a fast car wash when you go to Mister Car Wash.Mister Car Wash - Saginaw is located at 1214 S Saginaw Road, near the intersection of Washington Street and Saginaw Road. You’ll find us across the street from Speedway Gas Station and Valvoline Oil Change.

At this location of Mister Car Wash in Saginaw, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 09:36:48",44613,"2020-11-19 09:36:48",NULL,NULL,No,No,WAY,NULL,NULL
6313545,1,388187,4533215,48,NULL,2350,"Mister Car Wash - Cinema","Mister Car Wash - Cinema","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Cinema is located at 525 Joe Mann Blvd, near the intersection of Jefferson Avenue and Highway 10. You’ll find us close to Ford Midland and Planet Fitness.

At this location of Mister Car Wash in Cinema, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 09:45:57",44613,"2020-11-19 09:45:57",NULL,NULL,No,No,WAY,NULL,NULL
6313548,1,388189,4533218,48,NULL,2350,"Mister Car Wash - Lansing","Mister Car Wash - Lansing","Get a fast car wash when you go to Mister Car Wash. Mister Car Wash - Lansing is located at 6008 W Saginaw Hwy in Lansing, Michigan. You will find us close by the intersection of Saginaw Highway and Creyts Road between The Vitamin Shoppe and Palmer, Bush and Jensen. 

At this location of Mister Car Wash in Lansing, you can get a simple and quick car wash, complete with T3 conditioner and more!  Sit back and relax while your car breezes through the wash station. Leave this car wash spot with a clean and spotless car within minutes.",,NULL,NULL,NULL,NULL,NULL,0,0,100,1,Yes,No,No,No,1,In-Active,44613,"2020-11-19 09:51:33",44613,"2020-11-19 09:51:33",NULL,NULL,No,No,WAY,NULL,NULL
